App_Age,App_Race,birst_constant_one,row
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
24,CAUCASIAN,\N,\N
25,BLACK,\N,\N
25,BLACK,\N,\N
25,BLACK,\N,\N
25,BLACK,\N,\N
25,BLACK,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
25,CAUCASIAN,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,BLACK,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
26,CAUCASIAN,\N,\N
27,BLACK,\N,\N
27,BLACK,\N,\N
27,BLACK,\N,\N
27,BLACK,\N,\N
27,BLACK,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
27,CAUCASIAN,\N,\N
28,BLACK,\N,\N
28,BLACK,\N,\N
28,BLACK,\N,\N
28,BLACK,\N,\N
28,BLACK,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
